,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
0,7.0,3770.0,0.1754,8.589305208096429,10.8,432.0,3.6
1,10.635065510058652,6049.0,-0.0416,10.3,10.3,762.0,6.2
2,13.79,2034.0,0.0335,7.7,7.7,457.0,2.5
3,13.79,3679.0,-0.0279,5.6,15.2,2134.0,3.0
5,17.24,3648.0,-0.0711,8.589305208096429,1.9,696.0,3.6
6,6.89,549.0,0.1203,12.8,12.8,1930.0,2.6
8,12.07,4042.0,-0.0536,8.589305208096429,14.21544580709314,152.0,5.6
9,12.0,1617.0,0.1228,10.0,10.0,520.0,2.2
11,4.13,1519.0,0.0515,12.7,14.21544580709314,1778.0,4.6
13,12.0,2794.0,-0.0297,10.0,14.21544580709314,1650.0,2.9
14,10.635065510058652,2306.0,-0.0719,1.9,1.9,152.0,3.8
15,12.07,3255.0,0.0406,1.9,1.9,152.0,2.9
16,6.89,4069.0,0.0141,10.8,10.8,830.5649623727313,5.3
17,10.41,2563.0,0.1092,4.6,4.6,229.0,6.8
18,10.635065510058652,1858.0,0.0406,8.589305208096429,10.8,432.0,3.4
19,9.68,5615.0,-0.0204,6.4,15.9,914.0,6.2
20,10.635065510058652,3070.4877791356516,-0.0264,10.3,10.3,762.0,4.5
21,13.79,3070.4877791356516,-0.0579,1.9,1.9,152.0,4.7
22,13.79,3070.4877791356516,-0.0124,11.1,11.1,457.0,3.6
24,10.635065510058652,2143.0,0.0332,7.8,7.8,830.5649623727313,2.9
25,13.79,6198.0,-0.137,4.7,14.21544580709314,318.0,9.2
26,18.96,3070.4877791356516,-0.246,1.9,14.21544580709314,152.0,4.0
28,13.79,2061.0,-0.0276,7.8,7.8,591.0,2.1
29,13.79,3070.4877791356516,-0.0638,7.7,7.7,457.0,4.9
30,9.68,5615.0,0.0196,12.7,38.1,914.0,2.9
31,12.0,1408.0,0.1103,10.0,10.0,1650.0,1.4
32,13.79,933.0,-0.1005,7.8,7.8,591.0,2.3
33,4.96,4136.0,-0.0668,5.6,14.21544580709314,432.0,3.5
35,13.79,1926.0,0.0253,8.589305208096429,11.1,457.0,2.4
37,10.635065510058652,1519.0,0.0052,12.7,14.21544580709314,1778.0,3.3
38,13.79,1482.0,0.0465,4.7,14.21544580709314,318.0,2.8
40,12.07,6200.0,-0.0692,3.0,14.21544580709314,100.0,8.0
41,10.635065510058652,1356.0,0.1275,7.7,7.7,457.0,1.4
42,11.03,4069.0,-0.0263,9.3,9.3,762.0,5.0
46,6.89,3987.0,-0.0601,10.3,10.3,830.5649623727313,3.9
47,11.03,3391.0,0.0406,11.5,11.5,914.0,1.6
48,13.79,1021.0,0.0145,7.7,14.21544580709314,457.0,2.4
49,10.635065510058652,3677.0,0.0409,8.589305208096429,15.2,2134.0,1.3
51,17.24,3065.0,-0.1334,1.9,1.9,830.5649623727313,3.5
52,6.89,5778.0,-0.0251,10.3,10.3,762.0,5.9
53,11.03,3070.4877791356516,0.1716,5.6,15.2,2134.0,1.2
54,6.89,3070.4877791356516,0.0633,10.8,10.8,864.0,2.2
55,6.86,4069.0,0.0763,10.8,10.8,864.0,3.5
58,13.79,4123.0,-0.1044,4.7,4.7,318.0,6.8
59,3.45,5479.0,0.0883,8.589305208096429,14.21544580709314,830.5649623727313,7.9
61,6.89,7785.0,-0.0008,8.589305208096429,10.3,830.5649623727313,4.7
63,6.89,5533.0,0.0063,12.7,38.1,737.0,3.5
64,6.89,5533.0,-0.0251,8.589305208096429,14.21544580709314,762.0,7.5
65,13.79,6388.0,-0.112,8.589305208096429,4.7,318.0,5.1
66,10.635065510058652,2034.0,-0.0263,8.589305208096429,9.3,762.0,5.0
67,6.89,5588.0,-0.0157,6.4,15.9,914.0,5.8
69,10.635065510058652,6212.0,-0.1392,4.7,4.7,318.0,3.5
71,12.07,2577.0,-0.0458,8.589305208096429,1.9,696.0,2.9
72,13.79,3070.4877791356516,0.0656,4.7,14.21544580709314,318.0,1.9
73,10.635065510058652,3608.0,0.1261,4.7,4.7,318.0,2.7
77,13.79,679.0,0.1601,5.0,14.21544580709314,2134.0,1.6
79,6.86,4096.0,-0.0412,10.8,10.8,432.0,6.5
80,6.89,2278.0,0.1946,8.5,22.3,2743.0,2.0
